date_time,shop_name,sold_count,favorites,review_score,review_count,listing_active_count
2022-08-30 21:30:01.830136,NurseryRx,1285,1198,4.9464,597,25
2022-08-30 21:30:02.095850,JoyOfPlants,14644,6386,4.8648,1930,211
2022-08-30 21:30:02.394237,TWPTropical,12534,8188,4.6326,675,0
2022-08-30 21:30:02.639165,Botanicaz,46779,25042,4.907,8082,452
2022-08-30 21:30:02.923829,YourPlantBitch,10700,2737,4.3064,1472,294
2022-08-30 21:30:03.224403,PremierAesthetic,409,219,4.8659,179,61
2022-08-30 21:30:03.465815,PlantedPortland,12510,4025,4.7497,5105,166
2022-08-30 21:30:03.719922,MyPlantObsession,61519,9712,4.9031,4891,191
2022-08-30 21:30:04.009282,305Greenery,827,997,4.8871,248,302
2022-08-30 21:30:04.315675,WellspringGardens,72237,10497,4.7047,3112,243
2022-08-30 21:30:04.570836,VerdantLyfe,788,245,4.8667,120,163
2022-08-30 21:30:04.817157,coollectiveplants,5702,1730,4.8747,1277,56
2022-08-30 21:30:05.085578,HirtsGardens,302895,42443,4.8334,18972,872
2022-08-30 21:30:05.394849,lazygardens,30480,6387,4.9202,927,188
2022-08-30 21:30:05.645968,FloridaPlantsGardens,84434,16078,4.8569,8576,174
2022-08-30 21:30:06.046187,TheGreenEscape,107438,22483,4.8426,26722,512
2022-08-30 22:00:01.727047,NurseryRx,1285,1198,4.9464,597,25
2022-08-30 22:00:01.953150,JoyOfPlants,14644,6386,4.8648,1930,211
2022-08-30 22:00:02.209025,TWPTropical,12534,8188,4.6326,675,0
2022-08-30 22:00:02.446046,Botanicaz,46780,25043,4.907,8082,478
2022-08-30 22:00:02.667825,YourPlantBitch,10700,2737,4.3064,1472,294
2022-08-30 22:00:02.973688,PremierAesthetic,411,220,4.8659,179,61
2022-08-30 22:00:03.196130,PlantedPortland,12511,4026,4.7497,5105,166
2022-08-30 22:00:03.437987,MyPlantObsession,61521,9712,4.9031,4891,191
2022-08-30 22:00:03.750557,305Greenery,829,998,4.8871,248,302
2022-08-30 22:00:04.018028,WellspringGardens,72237,10498,4.7047,3112,243
2022-08-30 22:00:04.291432,VerdantLyfe,788,245,4.8667,120,163
2022-08-30 22:00:04.519805,coollectiveplants,5703,1730,4.8747,1277,56
2022-08-30 22:00:04.757846,HirtsGardens,302895,42443,4.8334,18972,872
2022-08-30 22:00:04.995059,lazygardens,30480,6387,4.9202,927,188
2022-08-30 22:00:05.220841,FloridaPlantsGardens,84435,16078,4.8569,8576,174
2022-08-30 22:00:05.584651,TheGreenEscape,107454,22486,4.8425,26719,512
2022-08-30 22:30:02.300536,NurseryRx,1285,1198,4.9464,597,25
2022-08-30 22:30:02.523194,JoyOfPlants,14644,6386,4.8648,1930,211
2022-08-30 22:30:02.813435,TWPTropical,12534,8188,4.6326,675,0
2022-08-30 22:30:03.049425,Botanicaz,46781,25043,4.907,8082,487
2022-08-30 22:30:03.269716,YourPlantBitch,10700,2737,4.3064,1472,294
2022-08-30 22:30:03.495059,PremierAesthetic,412,220,4.8659,179,64
2022-08-30 22:30:03.763049,PlantedPortland,12515,4029,4.7497,5105,166
2022-08-30 22:30:04.015100,MyPlantObsession,61521,9712,4.9031,4891,191
2022-08-30 22:30:04.252881,305Greenery,829,998,4.8871,248,302
2022-08-30 22:30:04.502796,WellspringGardens,72237,10498,4.7048,3113,243
2022-08-30 22:30:04.733303,VerdantLyfe,788,245,4.8667,120,163
2022-08-30 22:30:05.067473,coollectiveplants,5707,1730,4.8747,1277,56
2022-08-30 22:30:05.380323,HirtsGardens,302906,42444,4.8334,18970,872
2022-08-30 22:30:05.607453,lazygardens,30480,6387,4.9202,927,188
2022-08-30 22:30:05.922898,FloridaPlantsGardens,84436,16079,4.8569,8576,174
2022-08-30 22:30:06.230181,TheGreenEscape,107459,22486,4.8426,26722,513
2022-08-30 23:00:02.217175,NurseryRx,1285,1198,4.9464,597,25
2022-08-30 23:00:02.528440,JoyOfPlants,14645,6387,4.8648,1930,211
2022-08-30 23:00:02.937790,TWPTropical,12534,8188,4.6326,675,0
2022-08-30 23:00:03.246556,Botanicaz,46781,25043,4.907,8082,487
2022-08-30 23:00:03.556029,YourPlantBitch,10700,2738,4.3064,1472,294
2022-08-30 23:00:03.872932,PremierAesthetic,412,220,4.8659,179,65
2022-08-30 23:00:04.155603,PlantedPortland,12516,4029,4.7497,5105,166
2022-08-30 23:00:04.457028,MyPlantObsession,61521,9712,4.9031,4891,191
2022-08-30 23:00:04.754525,305Greenery,829,998,4.8871,248,302
2022-08-30 23:00:05.108364,WellspringGardens,72237,10498,4.7048,3113,243
2022-08-30 23:00:05.415908,VerdantLyfe,788,245,4.8667,120,163
2022-08-30 23:00:05.711231,coollectiveplants,5708,1731,4.8747,1277,56
2022-08-30 23:00:06.016046,HirtsGardens,302907,42445,4.8334,18970,872
2022-08-30 23:00:06.338477,lazygardens,30480,6387,4.9202,927,188
2022-08-30 23:00:06.663473,FloridaPlantsGardens,84436,16079,4.8569,8576,174
2022-08-30 23:00:07.045804,TheGreenEscape,107474,22486,4.8426,26728,511
2022-08-30 23:30:01.796825,NurseryRx,1285,1198,4.9464,597,25
2022-08-30 23:30:02.048362,JoyOfPlants,14645,6387,4.8647,1929,211
2022-08-30 23:30:02.350464,TWPTropical,12534,8188,4.6326,675,0
2022-08-30 23:30:02.594841,Botanicaz,46782,25043,4.907,8082,486
2022-08-30 23:30:02.868759,YourPlantBitch,10700,2738,4.3064,1472,294
2022-08-30 23:30:03.133428,PremierAesthetic,412,220,4.8659,179,65
2022-08-30 23:30:03.381527,PlantedPortland,12516,4029,4.7497,5106,161
2022-08-30 23:30:03.622179,MyPlantObsession,61521,9712,4.9031,4891,191
2022-08-30 23:30:03.859300,305Greenery,829,998,4.8871,248,302
2022-08-30 23:30:04.114155,WellspringGardens,72237,10498,4.7049,3114,243
2022-08-30 23:30:04.352582,VerdantLyfe,788,245,4.8667,120,163
2022-08-30 23:30:04.660954,coollectiveplants,5708,1731,4.8747,1277,56
2022-08-30 23:30:04.895411,HirtsGardens,302907,42446,4.8334,18970,872
2022-08-30 23:30:05.163652,lazygardens,30480,6387,4.9202,927,188
2022-08-30 23:30:05.405231,FloridaPlantsGardens,84436,16079,4.8569,8576,174
2022-08-30 23:30:05.744255,TheGreenEscape,107483,22486,4.8425,26729,511
2022-08-31 00:00:02.576278,NurseryRx,1285,1198,4.9464,597,25
2022-08-31 00:00:02.792279,JoyOfPlants,14645,6387,4.8647,1929,211
2022-08-31 00:00:03.036583,TWPTropical,12534,8188,4.6326,675,0
2022-08-31 00:00:03.459532,Botanicaz,46782,25044,4.907,8082,487
2022-08-31 00:00:03.711130,YourPlantBitch,10700,2738,4.3064,1472,294
2022-08-31 00:00:03.987451,PremierAesthetic,412,220,4.8659,179,65
2022-08-31 00:00:04.269668,PlantedPortland,12517,4029,4.7497,5106,161
2022-08-31 00:00:04.531179,MyPlantObsession,61522,9712,4.9031,4893,191
2022-08-31 00:00:04.759014,305Greenery,829,998,4.8871,248,302
2022-08-31 00:00:05.033965,WellspringGardens,72237,10498,4.7049,3114,243
2022-08-31 00:00:05.294261,VerdantLyfe,788,245,4.8667,120,163
2022-08-31 00:00:05.506653,coollectiveplants,5708,1732,4.8747,1277,56
2022-08-31 00:00:05.727948,HirtsGardens,302907,42446,4.8334,18970,872
2022-08-31 00:00:05.953628,lazygardens,30480,6387,4.9202,927,188
2022-08-31 00:00:06.170343,FloridaPlantsGardens,84437,16080,4.8569,8576,174
2022-08-31 00:00:06.494777,TheGreenEscape,107487,22486,4.8425,26729,511
2022-08-31 00:30:02.258526,NurseryRx,1285,1198,4.9464,597,25
